gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC000089.1	NA	NA	NA
AC000095.1	NA	NA	NA
AC000095.2	NA	NA	NA
AC000099.1	NA	NA	NA
AC000111.1	NA	NA	NA
AC000111.2	NA	NA	NA
AC000111.3	NA	NA	NA
AC000120.1	NA	NA	NA
AC000123.1	NA	NA	NA
AC000123.2	NA	NA	NA
AC000123.3	NA	NA	NA
AC000124.1	NA	NA	NA
AC000362.1	NA	NA	NA
AC000367.1	NA	NA	NA
AC000372.1	NA	NA	NA
AC000374.1	NA	NA	NA
AC000403.1	NA	NA	NA
AC001226.1	NA	NA	NA
AC001226.2	NA	NA	NA
AC002044.1	NA	NA	NA
AC002044.2	NA	NA	NA
AC002044.3	NA	NA	NA
AC002056.1	NA	NA	NA
AC002056.2	NA	NA	NA
AC002059.1	NA	NA	NA
AC002064.1	NA	NA	NA
AC002064.2	NA	NA	NA
AC002064.3	NA	NA	NA
AC002066.1	NA	NA	NA
AC002069.1	NA	NA	NA
AC002069.2	NA	NA	NA
AC002070.1	NA	NA	NA
AC002075.1	NA	NA	NA
AC002075.2	NA	NA	NA
AC002076.1	NA	NA	NA
AC002076.2	NA	NA	NA
AC002090.1	NA	NA	NA
AC002091.1	NA	NA	NA
AC002091.2	NA	NA	NA
AC002094.1	NA	NA	NA
AC002094.2	NA	NA	NA
AC002094.3	NA	NA	NA
AC002094.4	NA	NA	NA
AC002094.5	NA	NA	NA
AC002101.1	NA	NA	NA
AC002115.1	NA	NA	NA
AC002115.2	NA	NA	NA
AC002116.1	NA	NA	NA
AC002116.2	NA	NA	NA
AC002127.1	NA	NA	NA
AC002127.2	NA	NA	NA
AC002128.1	NA	NA	NA
AC002128.2	NA	NA	NA
AC002306.1	NA	NA	NA
AC002310.1	NA	NA	NA
AC002310.2	NA	NA	NA
AC002310.3	NA	NA	NA
AC002310.4	NA	NA	NA
AC002310.5	NA	NA	NA
AC002310.6	NA	NA	NA
AC002347.1	NA	NA	NA
AC002347.2	NA	NA	NA
AC002350.1	NA	NA	NA
AC002350.2	NA	NA	NA
AC002351.1	NA	NA	NA
AC002366.1	NA	NA	NA
AC002367.1	NA	NA	NA
AC002368.1	NA	NA	NA
AC002375.1	NA	NA	NA
AC002378.1	NA	NA	NA
AC002381.1	NA	NA	NA
AC002383.1	NA	NA	NA
AC002384.1	NA	NA	NA
AC002384.2	NA	NA	NA
AC002386.1	NA	NA	NA
AC002398.1	NA	NA	NA
AC002398.2	NA	NA	NA
AC002400.1	NA	NA	NA
AC002401.1	NA	NA	NA
AC002401.2	NA	NA	NA
AC002401.3	NA	NA	NA
AC002401.4	NA	NA	NA
AC002407.1	NA	NA	NA
AC002428.1	NA	NA	NA
AC002428.2	NA	NA	NA
AC002429.1	NA	NA	NA
AC002429.2	NA	NA	NA
AC002451.1	NA	NA	NA
AC002451.2	NA	NA	NA
AC002454.1	NA	NA	NA
