enst_id
ENST00000244174.10
ENST00000262640.11
ENST00000286448.11
ENST00000302805.7
ENST00000313871.8
ENST00000326153.9
ENST00000331035.9
ENST00000334060.8
ENST00000334651.10
ENST00000340131.12
ENST00000355432.8
ENST00000355805.7
ENST00000359512.8
ENST00000369423.7
ENST00000381177.6
ENST00000381180.8
ENST00000381184.6
ENST00000381187.8
ENST00000381192.8
ENST00000381218.8
ENST00000381222.8
ENST00000381223.9
ENST00000381229.9
ENST00000381233.8
ENST00000381241.8
ENST00000381261.8
ENST00000381297.9
ENST00000381317.8
ENST00000381333.9
ENST00000381401.10
ENST00000381469.7
ENST00000381500.6
ENST00000381509.8
ENST00000381524.8
ENST00000381529.8
ENST00000381566.6
ENST00000381567.8
ENST00000381575.6
ENST00000381578.6
ENST00000381625.9
ENST00000381657.7
ENST00000381663.8
ENST00000390665.8
ENST00000391707.7
ENST00000399012.6
ENST00000399966.9
ENST00000400841.7
ENST00000411342.6
ENST00000412290.6
ENST00000412516.7
ENST00000412936.6
ENST00000414513.7
ENST00000415337.6
ENST00000417535.7
ENST00000419737.7
ENST00000420411.7
ENST00000420865.6
ENST00000421233.6
ENST00000422618.6
ENST00000425740.7
ENST00000427886.6
ENST00000429181.6
ENST00000430235.7
ENST00000430536.7
ENST00000430562.6
ENST00000430923.7
ENST00000431238.7
ENST00000431582.6
ENST00000431919.6
ENST00000432272.6
ENST00000432318.8
ENST00000432523.6
ENST00000432757.6
ENST00000434938.7
ENST00000435581.7
ENST00000436474.6
ENST00000437244.6
ENST00000441131.7
ENST00000443019.6
ENST00000443929.6
ENST00000444280.6
ENST00000445062.6
ENST00000445785.6
ENST00000445792.7
ENST00000447472.6
ENST00000448477.6
ENST00000449611.6
ENST00000452144.6
ENST00000453953.6
ENST00000456370.6
ENST00000460206.6
ENST00000460621.6
ENST00000460672.6
ENST00000461007.6
ENST00000461691.6
ENST00000462195.6
ENST00000463317.6
ENST00000463763.6
ENST00000464205.6
ENST00000464935.6
ENST00000467626.6
ENST00000468169.6
ENST00000474361.6
ENST00000474865.6
ENST00000475167.6
ENST00000475259.6
ENST00000475594.6
ENST00000475859.6
ENST00000476066.6
ENST00000477110.6
ENST00000477636.6
ENST00000477940.6
ENST00000478256.6
ENST00000478825.6
ENST00000479401.6
ENST00000479438.6
ENST00000479687.6
ENST00000481245.6
ENST00000482170.6
ENST00000482293.6
ENST00000482405.7
ENST00000483079.6
ENST00000483286.6
ENST00000483543.7
ENST00000484026.6
ENST00000484364.6
ENST00000484415.6
ENST00000484611.7
ENST00000485332.7
ENST00000486791.6
ENST00000488344.6
ENST00000489233.6
ENST00000491683.6
ENST00000492963.6
ENST00000493312.6
ENST00000494962.6
ENST00000494969.7
ENST00000496011.6
ENST00000496301.6
ENST00000496630.6
ENST00000497752.6
ENST00000498153.6
ENST00000501036.7
ENST00000507418.6
ENST00000509780.6
ENST00000515319.6
ENST00000527459.6
ENST00000534940.6
ENST00000554971.6
ENST00000580266.6
ENST00000602357.6
ENST00000610676.5
ENST00000611428.5
ENST00000616698.5
ENST00000623253.4
ENST00000624481.4
ENST00000627627.3
ENST00000627721.3
